Skilled Nursing Facility,Date,Total Resident Positive Cases,Symptomatic Residents,Resident Loss of Life,Residents Recovered,Total Personnel Positive Cases,Symptomatic Personnel,Personnel Loss of Life,Personnel Recovered
BridgePoint Capitol Hill (Bed Capacity: 117),10/15/2020,11,2,2,8,21,14,0,15
BridgePoint National Harbor (Bed Capacity: 92),10/15/2020,5,5,0,5,16,7,0,5
Carroll Manor (Bed Capacity: 240),10/15/2020,28,1,5,22,31,4,1,28
Deanwood (Bed Capacity: 296),10/15/2020,119,66,25,84,64,5,0,54
Forest Hills (Bed Capacity: 50),10/15/2020,8,5,2,5,11,3,0,11
Hospital for Sick Children LTC (Bed Capacity: 16),10/15/2020,0,0,0,0,7,2,0,4
Ingleside (Bed Capacity: 60),10/15/2020,3,2,2,0,4,3,0,2
Inspire (Bed Capacity: 180),10/15/2020,68,45,14,56,40,20,1,32
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),10/15/2020,22,9,4,18,19,12,0,15
Knollwood (Bed Capacity: 73),10/15/2020,26,8,9,17,28,9,1,25
Lisner Home (Bed Capacity: 60),10/15/2020,42,1,9,33,12,9,0,11
Serenity (Bed Capacity: 183),10/15/2020,67,24,14,49,31,18,0,27
Stoddard Baptist (Bed Capacity: 164),10/15/2020,45,13,14,26,8,2,0,0
Thomas Circle (Bed Capacity: 57),10/15/2020,5,1,1,4,11,4,0,11
Transitions (Bed Capacity: 360),10/15/2020,150,25,28,75,44,36,2,38
UMNC (Bed Capacity: 120),10/15/2020,23,0,7,11,12,12,1,10
Unique (Bed Capacity: 230),10/15/2020,18,5,7,10,23,18,0,22
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),10/15/2020,82,3,20,59,23,12,1,5
BridgePoint Capitol Hill (Bed Capacity: 117),10/22/2020,11,2,2,8,23,15,0,15
BridgePoint National Harbor (Bed Capacity: 92),10/22/2020,6,6,0,5,16,7,0,5
Carroll Manor (Bed Capacity: 240),10/22/2020,28,1,5,22,31,4,1,28
Deanwood (Bed Capacity: 296),10/22/2020,121,68,25,84,66,5,0,54
Forest Hills (Bed Capacity: 50),10/22/2020,8,5,2,5,12,3,0,11
Hospital for Sick Children LTC (Bed Capacity: 16),10/22/2020,0,0,0,0,7,2,0,4
Ingleside (Bed Capacity: 60),10/22/2020,3,2,2,0,5,3,0,2
Inspire (Bed Capacity: 180),10/22/2020,68,45,14,56,40,20,1,32
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),10/22/2020,22,9,4,18,19,12,0,16
Knollwood (Bed Capacity: 73),10/22/2020,26,8,9,17,28,9,1,25
Lisner Home (Bed Capacity: 60),10/22/2020,42,1,9,33,12,9,0,12
Serenity (Bed Capacity: 183),10/22/2020,67,24,14,49,31,18,0,27
Stoddard Baptist (Bed Capacity: 164),10/22/2020,45,13,14,26,8,2,0,0
Thomas Circle (Bed Capacity: 57),10/22/2020,5,1,1,4,11,4,0,11
Transitions (Bed Capacity: 360),10/22/2020,150,25,28,75,44,36,2,38
UMNC (Bed Capacity: 120),10/22/2020,23,0,7,11,12,12,1,10
Unique (Bed Capacity: 230),10/22/2020,18,5,7,10,24,18,0,23
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),10/22/2020,82,3,20,59,23,12,1,5
BridgePoint Capitol Hill (Bed Capacity: 117),10/29/2020,12,2,2,8,24,15,0,15
BridgePoint National Harbor (Bed Capacity: 92),10/29/2020,6,6,0,5,17,7,0,5
Carroll Manor (Bed Capacity: 240),10/29/2020,28,1,5,22,31,4,1,28
Deanwood (Bed Capacity: 296),10/29/2020,124,69,25,84,67,5,0,54
Forest Hills (Bed Capacity: 50),10/29/2020,8,5,2,5,14,3,0,11
Hospital for Sick Children LTC (Bed Capacity: 16),10/29/2020,0,0,0,0,7,2,0,4
Ingleside (Bed Capacity: 60),10/29/2020,3,2,2,0,5,3,0,2
Inspire (Bed Capacity: 180),10/29/2020,68,45,14,56,40,20,1,32
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),10/29/2020,22,9,4,18,19,12,0,16
Knollwood (Bed Capacity: 73),10/29/2020,26,8,9,17,29,9,1,25
Lisner Home (Bed Capacity: 60),10/29/2020,42,1,9,33,12,9,0,12
Serenity (Bed Capacity: 183),10/29/2020,67,25,14,50,31,18,0,27
Stoddard Baptist (Bed Capacity: 164),10/29/2020,45,13,14,26,8,2,0,0
Thomas Circle (Bed Capacity: 57),10/29/2020,5,1,1,4,11,4,0,11
Transitions (Bed Capacity: 360),10/29/2020,150,25,28,75,46,36,2,38
UMNC (Bed Capacity: 120),10/29/2020,23,0,7,11,12,12,1,10
Unique (Bed Capacity: 230),10/29/2020,18,5,7,10,24,18,0,24
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),10/29/2020,82,3,20,59,23,12,1,5
BridgePoint Capitol Hill (Bed Capacity: 117),11/5/2020,14,2,2,8,28,15,0,15
BridgePoint National Harbor (Bed Capacity: 92),11/5/2020,7,6,0,5,19,8,0,5
Carroll Manor (Bed Capacity: 240),11/5/2020,28,1,5,23,31,4,1,28
Deanwood (Bed Capacity: 296),11/5/2020,124,71,25,84,71,5,0,54
Forest Hills (Bed Capacity: 50),11/5/2020,8,5,2,5,14,4,0,13
Hospital for Sick Children LTC (Bed Capacity: 16),11/5/2020,0,0,0,0,8,3,0,5
Ingleside (Bed Capacity: 60),11/5/2020,3,2,2,0,5,3,0,3
Inspire (Bed Capacity: 180),11/5/2020,68,45,14,56,40,20,1,32
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),11/5/2020,22,9,4,18,20,12,0,17
Knollwood (Bed Capacity: 73),11/5/2020,26,8,9,17,33,10,1,25
Lisner Home (Bed Capacity: 60),11/5/2020,42,1,9,33,12,9,0,12
Serenity (Bed Capacity: 183),11/5/2020,67,25,14,50,32,18,0,27
Stoddard Baptist (Bed Capacity: 164),11/5/2020,45,13,14,26,9,2,0,0
Thomas Circle (Bed Capacity: 57),11/5/2020,5,1,1,4,11,4,0,11
Transitions (Bed Capacity: 360),11/5/2020,150,25,28,75,46,38,2,39
UMNC (Bed Capacity: 120),11/5/2020,23,0,7,11,12,12,1,10
Unique (Bed Capacity: 230),11/5/2020,18,7,7,10,25,18,0,24
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),11/5/2020,82,3,20,59,23,12,1,5
BridgePoint Capitol Hill (Bed Capacity: 117),11/12/2020,16,2,2,8,32,15,0,15
BridgePoint National Harbor (Bed Capacity: 92),11/12/2020,7,6,0,6,21,8,0,7
Carroll Manor (Bed Capacity: 240),11/12/2020,28,1,5,23,31,4,1,28
Deanwood (Bed Capacity: 296),11/12/2020,124,71,25,84,71,5,0,54
Forest Hills (Bed Capacity: 50),11/12/2020,8,5,2,5,15,4,0,13
Hospital for Sick Children LTC (Bed Capacity: 16),11/12/2020,0,0,0,0,9,3,0,5
Ingleside (Bed Capacity: 60),11/12/2020,3,2,2,0,5,3,0,3
Inspire (Bed Capacity: 180),11/12/2020,68,45,14,56,41,20,1,32
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),11/12/2020,22,9,4,18,20,12,0,18
Knollwood (Bed Capacity: 73),11/12/2020,26,8,9,17,33,10,1,25
Lisner Home (Bed Capacity: 60),11/12/2020,42,1,9,33,14,10,0,12
Serenity (Bed Capacity: 183),11/12/2020,67,25,14,50,32,18,0,27
Stoddard Baptist (Bed Capacity: 164),11/12/2020,45,13,14,26,9,2,0,0
Thomas Circle (Bed Capacity: 57),11/12/2020,5,1,1,4,11,4,0,11
Transitions (Bed Capacity: 360),11/12/2020,150,25,28,75,46,38,2,39
UMNC (Bed Capacity: 120),11/12/2020,23,0,7,11,12,12,1,10
Unique (Bed Capacity: 230),11/12/2020,18,7,7,10,27,19,0,24
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),11/12/2020,82,3,20,59,24,12,1,5
BridgePoint Capitol Hill (Bed Capacity: 117),11/19/2020,16,6,3,10,37,17,0,15
BridgePoint National Harbor (Bed Capacity: 92),11/19/2020,9,8,0,6,24,9,0,7
Carroll Manor (Bed Capacity: 240),11/19/2020,28,1,7,23,31,4,1,28
Deanwood (Bed Capacity: 296),11/19/2020,124,71,25,85,71,5,0,54
Forest Hills (Bed Capacity: 50),11/19/2020,8,5,2,5,15,4,0,15
Hospital for Sick Children LTC (Bed Capacity: 16),11/19/2020,0,0,0,0,10,3,0,5
Ingleside (Bed Capacity: 60),11/19/2020,3,2,2,0,6,3,0,3
Inspire (Bed Capacity: 180),11/19/2020,68,45,14,56,42,20,1,35
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),11/19/2020,22,9,5,18,21,12,0,18
Knollwood (Bed Capacity: 73),11/19/2020,26,8,9,17,34,10,1,26
Lisner Home (Bed Capacity: 60),11/19/2020,42,1,9,33,14,10,0,12
Serenity (Bed Capacity: 183),11/19/2020,67,25,14,49,32,18,0,27
Stoddard Baptist (Bed Capacity: 164),11/19/2020,45,13,14,26,12,3,0,0
Thomas Circle (Bed Capacity: 57),11/19/2020,6,1,2,5,12,4,0,11
Transitions (Bed Capacity: 360),11/19/2020,151,25,28,75,48,38,2,39
UMNC (Bed Capacity: 120),11/19/2020,23,0,7,11,12,12,1,10
Unique (Bed Capacity: 230),11/19/2020,18,7,7,10,29,19,0,24
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),11/19/2020,82,3,20,59,26,12,1,5
BridgePoint Capitol Hill (Bed Capacity: 117),11/26/2020,20,10,3,10,46,18,0,15
BridgePoint National Harbor (Bed Capacity: 92),11/26/2020,9,0,0,9,26,9,0,7
Carroll Manor (Bed Capacity: 240),11/26/2020,28,11,5,23,31,4,1,29
Deanwood (Bed Capacity: 296),11/26/2020,124,53,24,84,76,5,0,54
Forest Hills (Bed Capacity: 50),11/26/2020,8,3,2,5,18,5,0,14
Hospital for Sick Children LTC (Bed Capacity: 16),11/26/2020,0,0,0,0,10,3,0,5
Ingleside (Bed Capacity: 60),11/26/2020,3,1,2,0,6,3,0,3
Inspire (Bed Capacity: 180),11/26/2020,68,23,14,56,43,20,1,36
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),11/26/2020,22,13,4,18,21,12,0,18
Knollwood (Bed Capacity: 73),11/26/2020,26,18,9,17,38,10,1,26
Lisner Home (Bed Capacity: 60),11/26/2020,42,41,8,33,14,10,0,14
Reanaissance,11/26/2020,2,0,0,0,10,0,0,0
Serenity (Bed Capacity: 183),11/26/2020,67,41,13,49,32,18,0,27
Stoddard Baptist (Bed Capacity: 164),11/26/2020,45,27,14,26,16,3,0,0
Thomas Circle (Bed Capacity: 57),11/26/2020,6,5,1,5,12,4,0,10
Transitions (Bed Capacity: 360),11/26/2020,151,55,26,75,49,38,1,39
UMNC (Bed Capacity: 120),11/26/2020,23,22,7,0,12,12,1,0
Unique (Bed Capacity: 230),11/26/2020,18,11,7,10,33,20,0,26
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),11/26/2020,82,79,20,59,30,12,1,5
BridgePoint Capitol Hill (Bed Capacity: 117),12/3/2020,20,10,4,10,50,20,0,16
BridgePoint National Harbor (Bed Capacity: 92),12/3/2020,9,0,0,9,29,12,0,7
Carroll Manor (Bed Capacity: 240),12/3/2020,28,11,5,23,31,4,1,29
Deanwood (Bed Capacity: 296),12/3/2020,127,53,25,84,78,5,0,54
Forest Hills (Bed Capacity: 50),12/3/2020,9,3,2,5,20,6,0,18
Hospital for Sick Children LTC (Bed Capacity: 16),12/3/2020,0,0,0,0,12,4,0,8
Ingleside (Bed Capacity: 60),12/3/2020,3,1,2,0,5,3,0,3
Inspire (Bed Capacity: 180),12/3/2020,68,23,14,56,44,20,1,36
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),12/3/2020,22,13,4,18,21,12,0,19
Knollwood (Bed Capacity: 73),12/3/2020,26,18,9,17,34,10,1,26
Lisner Home (Bed Capacity: 60),12/3/2020,42,41,8,33,15,10,0,14
Reanaissance,12/3/2020,3,0,0,0,11,0,0,0
Serenity (Bed Capacity: 183),12/3/2020,67,41,13,49,34,19,0,27
Stoddard Baptist (Bed Capacity: 164),12/3/2020,45,27,14,26,16,3,0,0
Thomas Circle (Bed Capacity: 57),12/3/2020,6,5,1,5,14,4,0,11
Transitions (Bed Capacity: 360),12/3/2020,151,55,26,75,50,38,1,39
UMNC (Bed Capacity: 120),12/3/2020,23,22,7,0,12,12,1,0
Unique (Bed Capacity: 230),12/3/2020,18,11,7,10,37,20,0,31
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),12/3/2020,83,79,20,59,31,12,1,6
BridgePoint Capitol Hill (Bed Capacity: 117),12/10/2020,21,10,4,10,51,20,0,16
BridgePoint National Harbor (Bed Capacity: 92),12/10/2020,9,0,0,9,32,12,0,9
Carroll Manor (Bed Capacity: 240),12/10/2020,28,11,5,23,39,6,1,29
Deanwood (Bed Capacity: 296),12/10/2020,127,53,25,84,80,5,0,54
Forest Hills (Bed Capacity: 50),12/10/2020,9,3,2,5,21,6,0,18
Hospital for Sick Children LTC (Bed Capacity: 16),12/10/2020,0,0,0,0,12,4,0,8
Ingleside (Bed Capacity: 60),12/10/2020,3,1,2,0,5,3,0,3
Inspire (Bed Capacity: 180),12/10/2020,68,23,14,56,45,20,1,37
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),12/10/2020,22,13,4,18,22,12,0,19
Knollwood (Bed Capacity: 73),12/10/2020,26,18,9,17,35,11,1,26
Lisner Home (Bed Capacity: 60),12/10/2020,42,41,8,33,16,11,0,14
Reanaissance,12/10/2020,3,0,0,0,12,0,0,0
Serenity (Bed Capacity: 183),12/10/2020,67,41,13,49,39,20,0,27
Stoddard Baptist (Bed Capacity: 164),12/10/2020,45,27,14,26,17,3,0,0
Thomas Circle (Bed Capacity: 57),12/10/2020,6,5,1,5,15,5,0,11
Transitions (Bed Capacity: 360),12/10/2020,151,55,26,75,52,38,1,39
UMNC (Bed Capacity: 120),12/10/2020,23,22,7,0,12,12,1,0
Unique (Bed Capacity: 230),12/10/2020,19,11,7,10,38,20,0,31
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),12/10/2020,83,79,20,59,31,12,1,6
BridgePoint Capitol Hill (Bed Capacity: 117),12/17/2020,22,10,4,10,51,20,0,16
BridgePoint National Harbor (Bed Capacity: 92),12/17/2020,9,0,0,9,32,12,0,9
Carroll Manor (Bed Capacity: 240),12/17/2020,56,17,5,23,54,10,1,29
Deanwood (Bed Capacity: 296),12/17/2020,127,53,25,84,82,5,0,54
Forest Hills (Bed Capacity: 50),12/17/2020,9,3,2,5,24,6,0,20
Hospital for Sick Children LTC (Bed Capacity: 16),12/17/2020,0,0,0,0,12,4,0,9
Ingleside (Bed Capacity: 60),12/17/2020,3,1,2,0,5,3,0,3
Inspire (Bed Capacity: 180),12/17/2020,68,23,14,56,48,20,1,37
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),12/17/2020,22,13,4,18,24,12,0,19
Knollwood (Bed Capacity: 73),12/17/2020,26,18,9,17,37,12,1,26
Lisner Home (Bed Capacity: 60),12/17/2020,42,41,8,33,17,12,0,14
Reanaissance,12/17/2020,3,0,0,0,13,0,0,0
Serenity (Bed Capacity: 183),12/17/2020,67,41,13,49,41,20,0,27
Stoddard Baptist (Bed Capacity: 164),12/17/2020,46,28,14,26,17,4,0,0
Thomas Circle (Bed Capacity: 57),12/17/2020,6,5,1,5,14,4,0,11
Transitions (Bed Capacity: 360),12/17/2020,152,55,26,75,56,38,1,39
UMNC (Bed Capacity: 120),12/17/2020,23,22,7,0,12,12,1,0
Unique (Bed Capacity: 230),12/17/2020,20,11,7,10,40,20,0,31
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),12/17/2020,84,79,20,59,33,12,1,6
BridgePoint Capitol Hill (Bed Capacity: 117),12/24/2020,22,10,4,4,52,20,0,16
BridgePoint National Harbor (Bed Capacity: 92),12/24/2020,9,0,0,0,34,12,0,9
Carroll Manor (Bed Capacity: 240),12/24/2020,65,18,7,7,60,17,1,30
Deanwood (Bed Capacity: 296),12/24/2020,128,53,25,25,85,5,0,54
Forest Hills (Bed Capacity: 50),12/24/2020,10,3,2,2,25,6,0,24
Hospital for Sick Children LTC (Bed Capacity: 16),12/24/2020,0,0,0,0,12,4,0,9
Ingleside (Bed Capacity: 60),12/24/2020,3,1,2,2,7,3,0,3
Inspire (Bed Capacity: 180),12/24/2020,85,25,14,14,51,21,1,38
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),12/24/2020,22,13,4,4,24,13,0,19
Knollwood (Bed Capacity: 73),12/24/2020,26,18,9,9,40,12,1,26
Lisner Home (Bed Capacity: 60),12/24/2020,42,41,8,8,17,12,0,16
Reanaissance,12/24/2020,3,0,0,0,13,0,0,0
Serenity (Bed Capacity: 183),12/24/2020,67,41,13,13,42,20,0,28
Stoddard Baptist (Bed Capacity: 164),12/24/2020,46,28,14,14,18,4,0,0
Thomas Circle (Bed Capacity: 57),12/24/2020,6,5,1,1,14,4,0,12
Transitions (Bed Capacity: 360),12/24/2020,159,55,26,26,62,39,1,44
UMNC (Bed Capacity: 120),12/24/2020,23,22,7,7,12,12,1,10
Unique (Bed Capacity: 230),12/24/2020,20,11,7,7,40,20,0,37
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),12/24/2020,84,79,20,20,33,12,1,6
BridgePoint Capitol Hill (Bed Capacity: 117),12/31/2020,22,10,4,10,58,20,0,16
BridgePoint National Harbor (Bed Capacity: 92),12/31/2020,9,0,0,9,43,19,0,10
Carroll Manor (Bed Capacity: 240),12/31/2020,82,26,10,23,70,21,1,30
Deanwood (Bed Capacity: 296),12/31/2020,128,53,25,84,92,5,0,54
Forest Hills (Bed Capacity: 50),12/31/2020,10,3,2,6,25,6,0,24
Hospital for Sick Children LTC (Bed Capacity: 16),12/31/2020,0,0,0,0,13,4,0,9
Ingleside (Bed Capacity: 60),12/31/2020,3,1,2,0,9,5,0,4
Inspire (Bed Capacity: 180),12/31/2020,94,25,14,56,57,22,1,38
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),12/31/2020,22,13,4,18,31,16,0,19
Knollwood (Bed Capacity: 73),12/31/2020,26,18,9,17,39,12,1,26
